ID,BasinID,Lat,Long,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
63,63,-13.04,32.56,0.000,0.000,0.028,0.000,0.234,0.667,0.000,0.000,0.000,0.071,0.000,0.000,0.000,0.000,0.000
64,64,-13.35,32.8,0.000,0.000,0.324,0.000,0.002,0.081,0.000,0.016,0.030,0.433,0.113,0.000,0.000,0.000,0.001
65,65,-13.26,32.82,0.000,0.000,0.233,0.000,0.002,0.296,0.000,0.005,0.009,0.427,0.028,0.000,0.000,0.000,0.000
66,66,-12.51,31.78,0.000,0.000,0.444,0.000,0.036,0.283,0.000,0.010,0.002,0.122,0.103,0.000,0.000,0.000,0.000
67,67,-12.63,31.44,0.008,0.000,0.059,0.000,0.752,0.088,0.012,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000
68,68,-12.52,31.36,0.001,0.000,0.013,0.000,0.723,0.034,0.003,0.000,0.000,0.227,0.000,0.000,0.000,0.000,0.000
69,69,-12.63,31.16,0.000,0.000,0.008,0.000,0.142,0.474,0.000,0.000,0.001,0.373,0.002,0.000,0.000,0.000,0.000
70,70,-12.86,31.18,0.000,0.000,0.002,0.000,0.342,0.464,0.000,0.000,0.000,0.193,0.000,0.000,0.000,0.000,0.000
71,71,-13.9,31.67,0.000,0.000,0.392,0.000,0.016,0.304,0.000,0.009,0.004,0.226,0.050,0.000,0.000,0.000,0.000
72,72,-14.01,31.82,0.000,0.000,0.561,0.000,0.001,0.108,0.000,0.003,0.006,0.274,0.047,0.000,0.000,0.000,0.000
73,73,-13.19,31.68,0.000,0.000,0.281,0.000,0.024,0.356,0.000,0.024,0.007,0.170,0.113,0.010,0.000,0.000,0.017
74,74,-12.85,31.74,0.000,0.000,0.175,0.000,0.218,0.380,0.000,0.003,0.002,0.127,0.084,0.000,0.000,0.000,0.011
75,75,-13.69,32.47,0.000,0.000,0.313,0.000,0.035,0.213,0.000,0.016,0.042,0.295,0.086,0.000,0.000,0.000,0.000
76,76,-13.17,32.67,0.000,0.000,0.092,0.000,0.043,0.576,0.000,0.000,0.000,0.287,0.001,0.000,0.000,0.000,0.000
77,77,-13.15,32.93,0.000,0.000,0.031,0.000,0.100,0.622,0.000,0.003,0.003,0.223,0.019,0.000,0.000,0.000,0.000
78,78,-12.96,32.96,0.000,0.000,0.059,0.000,0.038,0.486,0.000,0.004,0.009,0.369,0.035,0.000,0.000,0.000,0.000
79,79,-12.98,32.78,0.000,0.000,0.031,0.000,0.396,0.488,0.000,0.000,0.000,0.084,0.001,0.000,0.000,0.000,0.000
80,80,-12.76,32.76,0.000,0.000,0.073,0.000,0.284,0.483,0.000,0.000,0.002,0.153,0.004,0.000,0.000,0.000,0.000
81,81,-12.86,32.64,0.000,0.000,0.024,0.000,0.369,0.519,0.000,0.000,0.000,0.088,0.000,0.000,0.000,0.000,0.000
82,82,-12.71,32.47,0.000,0.000,0.240,0.000,0.014,0.419,0.000,0.000,0.000,0.321,0.007,0.000,0.000,0.000,0.000
83,83,-12.84,32.42,0.000,0.000,0.215,0.000,0.009,0.510,0.000,0.000,0.000,0.264,0.003,0.000,0.000,0.000,0.000
84,84,-12.56,32,0.000,0.000,0.198,0.000,0.000,0.098,0.000,0.057,0.010,0.165,0.472,0.000,0.000,0.000,0.000
85,85,-12.67,32.21,0.000,0.000,0.302,0.000,0.008,0.302,0.000,0.036,0.011,0.225,0.107,0.002,0.000,0.000,0.008
